Category,Sub Category (Exam Name),Conducted Years,Missing / Not Conducted Years (within range),Question Paper Availability (Years),Stage 1 – Exam Type,Stage 2 – Exam Type,Stage 3 – Exam Type,Notes
UPSC,Civil Services Examination (CSE),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (GS Paper I + CSAT Paper II),"Mains – Written (9 papers: Essay, GS I–IV, Optional I–II, Language papers)",Personality Test / Interview,2025 papers pending official upload; CSAT is qualifying
UPSC,Indian Forest Service (IFoS),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (shared with CSE Prelims),"Mains – Written (6 papers: General English, General Knowledge, 2 Optional subjects × 2 papers each)",Personality Test / Interview,Prelims is common with CSE; separate Mains for IFoS
UPSC,Engineering Services Examination (ESE / IES),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (Paper I: GS & Engg. Aptitude; Paper II: Engineering discipline),"Mains – Written (Paper I & Paper II: Engineering discipline, conventional/descriptive)",Personality Test / Interview,Pattern revised from 2017 onwards (Prelims added); 2015–2016 had only Written + Interview
UPSC,Combined Defence Services (CDS),2015–2025 (2 cycles/year: CDS I & CDS II),None (both cycles held every year),"2015 I&II, 2016 I&II, 2017 I&II, 2018 I&II, 2019 I&II, 2020 I&II, 2021 I&II, 2022 I&II, 2023 I&II, 2024 I&II","Written – MCQ (English, GK, Elementary Mathematics; OTA: English + GK only)","SSB Interview (conducted by MoD, not UPSC)",N/A,Two cycles per year; Mathematics paper not required for OTA entry
UPSC,National Defence Academy & Naval Academy (NDA & NA),2015–2025 (2 cycles/year: NDA I & NDA II),None (both cycles held every year),"2015 I&II, 2016 I&II, 2017 I&II, 2018 I&II, 2019 I&II, 2020 I&II, 2021 I&II, 2022 I&II, 2023 I&II, 2024 I&II",Written – MCQ (Mathematics + General Ability Test),"SSB Interview (conducted by MoD, not UPSC)",N/A,Two cycles per year; females eligible from 2022 onwards (SC order)
UPSC,Combined Medical Services (CMS),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Written – MCQ (Paper I & Paper II: clinical medicine, surgery, gynaecology, etc.)",Personality Test / Interview,N/A,Single-day written exam (both papers); no Mains written stage
UPSC,Indian Economic Service / Indian Statistical Service (IES/ISS),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Written – Both (General English & General Studies: MCQ; Economics/Statistics papers: Written/Descriptive),Personality Test / Interview,N/A,"IES: 6 papers (Gen. English, Gen. Studies, Economics I–IV); ISS: 6 papers (Gen. English, Gen. Studies, Statistics I–IV)"
UPSC,Combined Geo-Scientist Examination,2015–2025,None (conducted every year; exam renamed/restructured in 2020 from Geologist Exam),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (Paper I: General Studies; Paper II: discipline-specific),Mains – Written (3 discipline-specific descriptive papers),Personality Test / Interview,Renamed from 'Geologist Examination' to 'Combined Geo-Scientist Examination' from 2020; papers for 2015–2019 are under old name
UPSC,EPFO – Enforcement Officer / Accounts Officer,2015–2025,"2016, 2018 – Not conducted; 2020 – Deferred to 2021 (COVID-19)","2015, 2017, 2019, 2021, 2022, 2023, 2024","Written – MCQ (General English, Indian Freedom Struggle, Current Events, Indian Polity, General Accounting Principles, Industrial Relations & Labour Laws, etc.)",Interview / Skill Test,N/A,Not conducted every year; recruitment driven by vacancy notifications; 2020 exam held in 2021
UPSC,Central Armed Police Forces – Assistant Commandant (CAPF AC),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Written – Both (Paper I: MCQ – General Ability & Intelligence; Paper II: Descriptive – Essay, Précis, Comprehension)",Physical Standards / Physical Efficiency Test (PET),Interview / Personality Test,Paper I is MCQ; Paper II is descriptive/written — both on same day
SSC,Combined Graduate Level (CGL),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Tier I – MCQ (General Intelligence & Reasoning, General Awareness, Quantitative Aptitude, English Comprehension)",Tier II – MCQ (Paper I: Mathematical Abilities + Reasoning; Paper II: English Language & Comprehension; Paper III: Statistics / General Studies – Finance & Economics as applicable),"Tier III – Written/Descriptive (Essay, Letter, Precis in English/Hindi) + Skill Test / Document Verification","Pattern revised in 2022: Tier III is now descriptive pen-and-paper; Tier IV (Skill Test/CPT) is qualifying. Prior to 2022, 4 Tiers existed. 2020 exam delayed to 2021 due to COVID-19."
SSC,Combined Higher Secondary Level (CHSL),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Tier I – MCQ (General Intelligence, English Language, Quantitative Aptitude, General Awareness)",Tier II – Both: Section I MCQ (Math + Reasoning + English + GK) + Section II Skill Test / Typing Test (qualifying),N/A,Pattern revised in 2023: Tier II now includes MCQ sections plus Skill/Typing test in same sitting. Previously Tier II was descriptive. 2020 exam delayed to 2021.
SSC,Multi Tasking Staff (MTS),2015–2025,2016 – Not conducted separately (merged cycle); 2020 – Deferred to 2021 (COVID-19),"2015, 2017, 2018, 2019, 2021, 2022, 2023, 2024","Paper I – MCQ (Numerical & Mathematical Ability, Reasoning & Problem Solving, General Awareness, English Language & Comprehension)",Paper II – Written/Descriptive (Short Essay / Letter in English or any language in 8th Schedule) — Qualifying only,N/A,Paper II is qualifying (marks not counted in merit). Pattern revised in 2021: Paper I is now fully MCQ-based computer exam. Havaldar posts included from 2022.
SSC,GD Constable,2015–2025,2016 – Not conducted; 2017 – Not conducted; 2022 – Not conducted (merged with 2021 cycle),"2015, 2018, 2019, 2021, 2023, 2024","CBT (Computer Based Test) – MCQ (General Intelligence & Reasoning, General Knowledge & Awareness, Elementary Mathematics, English/Hindi)",Physical Efficiency Test (PET) & Physical Standard Test (PST) – Qualifying,Medical Examination + Document Verification,"Recruitment is need/vacancy based; not held every year. 2018-19 recruitment was a mega cycle. PET/PST conducted by CAPFs/SSB, not SSC."
SSC,Junior Engineer (JE),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Paper I – MCQ (General Intelligence & Reasoning, General Awareness, Part A: General Engineering – Civil/Electrical/Mechanical as per post)",Paper II – Written/Descriptive (Conventional: Civil & Structural / Electrical / Mechanical Engineering as per post),N/A,"Streams: Civil & Structural, Electrical, Mechanical. Paper II is conventional/descriptive. 2020 delayed to 2021. Both papers on same day in recent years."
SSC,CPO – Sub-Inspector (SI) in Delhi Police / CAPFs,2015–2025,2020 – Deferred to 2021 (COVID-19),"2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024","Paper I – MCQ (General Intelligence & Reasoning, General Knowledge & Awareness, Quantitative Aptitude, English Comprehension)",Physical Endurance Test (PET) / Medical Exam – Qualifying,Paper II – MCQ (English Language & Comprehension) + Final Medical,Paper I and Paper II both MCQ (CBT). PET between Paper I and II is qualifying. Final merit based on Paper I + Paper II combined.
SSC,Stenographer Grade C & D,2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Written Exam – MCQ (General Intelligence & Reasoning, General Awareness, English Language & Comprehension)",Skill Test – Stenography Speed Test (80 wpm for Grade D; 100 wpm for Grade C) – Qualifying,N/A,Skill test is qualifying; final merit on written exam marks only. Grade C: Group 'B' Non-Gazetted; Grade D: Group 'C'. 2020 delayed to 2021.
SSC,Selection Post (Phase-wise),Phase IV (2016) – Phase XII (2025),Phase I–III data before 2016 not in scope; no missing phases from Phase IV onwards,"Phase IV (2016), Phase V (2017), Phase VI (2018), Phase VII (2019), Phase VIII (2020), Phase IX (2021), Phase X (2022), Phase XI (2023), Phase XII (2024–25)","CBT – MCQ (General Intelligence, English Language, Quantitative Aptitude, General Awareness; difficulty varies by post – Matriculation / Higher Secondary / Graduation level)","Document Verification / Skill Test (post-specific, qualifying)",N/A,"One phase per year. No written/descriptive stage; purely CBT MCQ. Post categories vary: 10th pass, 12th pass, or Graduate level posts notified together."
SSC,CHSL – Data Entry Operator (DEO),2015–2025,None (DEO is a post under CHSL; conducted every year with CHSL),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Tier I – MCQ (same as CHSL: General Intelligence, English, Quantitative Aptitude, General Awareness)","Tier II – MCQ + DEO Skill Test (Data Entry Speed Test: 8,000 key depressions/hour – Qualifying)",N/A,"DEO is not a separate exam — it is a post category within CHSL. Skill test speed requirement: 8,000 key depressions/hour for DEO; 15,000 for DEO Grade A (CAG). Conducted alongside LDC/JSA posts."
Railways (RRB),RRB NTPC (Non-Technical Popular Categories),2015–2025,"2016, 2017, 2018 – Not conducted (2015 cycle results pending); 2022 – Not conducted (2021 cycle ongoing); 2024 – Not conducted (2024 notification issued, exam pending in 2025)","2015–16 cycle, 2019–20 cycle (CBT 1 & 2 papers available), 2021–22 cycle (CBT 1 & 2 papers available)","CBT 1 – MCQ (Mathematics, General Intelligence & Reasoning, General Awareness)","CBT 2 – MCQ (Mathematics, General Intelligence & Reasoning, General Awareness – higher difficulty; post-specific)","Skill Test / Typing Test / CBAT (post-specific, qualifying) + Document Verification","Mega recruitment cycles: 2015–16 (35,000+ posts), 2019–21 (35,208 posts), 2024–25 (11,558 posts notified). Not an annual exam — cycle-based. Graduate & Undergraduate post categories notified together. 2022 protest-related re-exam controversy."
Railways (RRB),RRB JE (Junior Engineer),2015–2025,"2015, 2016, 2017, 2020, 2022, 2023 – Not conducted (gap between 2018-19 cycle and 2024 cycle)","2014–15 cycle (limited), 2018–19 cycle (CBT 1 & 2 papers available), 2024 cycle (ongoing)","CBT 1 – MCQ (Mathematics, General Intelligence & Reasoning, General Awareness, General Science)","CBT 2 – MCQ (Physics & Chemistry, Basics of Computers & Applications, Basics of Environment & Pollution Control, Technical Abilities – discipline specific)",Document Verification + Medical Examination,"Disciplines: Civil, Electrical, Mechanical, Electronics & Communication, IT, Depot Material Superintendent, Chemical & Metallurgical Assistant, etc. CBT 2 is discipline-specific. Recruitment is vacancy-driven, not annual."
Railways (RRB),RRB Group D (Level 1 Posts),2015–2025,"2015, 2016, 2017 – Not conducted (2018 mega cycle covered backlog); 2020, 2021 – Not conducted (2018 cycle results still processing); 2023 – Not conducted; 2025 – Notification issued, exam pending","2018–19 cycle (CBT papers available), 2022 cycle (CBT papers available)","CBT – MCQ (Mathematics, General Intelligence & Reasoning, General Science, General Awareness & Current Affairs)","Physical Efficiency Test (PET) – Qualifying (running, weight lifting tasks gender/category specific)",Medical Examination + Document Verification,"Mega cycle 2018–19: 1,03,769 posts — largest single RRB recruitment. 2022 cycle: 1,03,769 posts again. No written descriptive stage. PET is qualifying only. Minimum 10th pass eligibility."
Railways (RRB),RRB ALP (Assistant Loco Pilot),2015–2025,"2015, 2016, 2017 – Not conducted (2018 mega cycle); 2020, 2021, 2022, 2023 – Not conducted (2018 cycle results & 2024 notification gap)","2018–19 cycle (CBT 1 & 2 Part A & B papers available), 2024 cycle (ongoing/pending)","CBT 1 – MCQ (Mathematics, General Intelligence & Reasoning, General Science, General Awareness & Current Affairs)",CBT 2 – MCQ: Part A (General topics) + Part B (Trade/Discipline specific — qualifying),"CBAT (Computer Based Aptitude Test, qualifying) + Document Verification + Medical",ALP and Technician notified together in same cycle. CBT 2 Part B (trade syllabus) is qualifying — marks not counted in merit. CBAT required only for ALP post. ITI/Diploma required for eligibility.
Railways (RRB),RRB Technician (Grades 1 & 3),2015–2025,"2015, 2016, 2017 – Not conducted (2018 mega cycle); 2020, 2021, 2022, 2023 – Not conducted (gap years)","2018–19 cycle (CBT papers available), 2024 cycle (ongoing/pending)","CBT 1 – MCQ (Mathematics, General Intelligence & Reasoning, General Science, General Awareness & Current Affairs)",CBT 2 – MCQ (General topics + Trade/Discipline specific) — for Grade 1 only; Grade 3 shortlisted from CBT 1 only,Document Verification + Medical Examination,Technician Grade 1 requires CBT 2 (discipline-specific); Grade 3 does not. Notified alongside ALP in same recruitment cycle. ITI qualification required.
Railways (RPF),RPF Constable,2015–2025,"2015, 2016, 2017 – Not conducted (2018 mega cycle); 2020, 2021, 2022 – Not conducted (2018 cycle + gap); 2025 – Notification issued, exam pending","2018–19 cycle (CBT papers available), 2024 cycle (papers available)","CBT – MCQ (General Awareness, Arithmetic, General Intelligence & Reasoning)",Physical Efficiency Test (PET) & Physical Measurement Test (PMT) – Qualifying,Medical Examination + Document Verification,"Conducted by Railway Recruitment Boards under Railway Protection Force. Mega cycle 2018: 9,739 posts. 2024 cycle: 4,660 posts. PET includes 1600m/800m run, long jump, high jump (gender specific)."
Railways (RPF),RPF Sub-Inspector (SI),2015–2025,"2015, 2016, 2017 – Not conducted (2018 mega cycle); 2020, 2021, 2022 – Not conducted (gap years); 2025 – Notification issued, exam pending","2018–19 cycle (CBT papers available), 2024 cycle (papers available)","CBT – MCQ (General Awareness, Arithmetic, General Intelligence & Reasoning)",Physical Efficiency Test (PET) & Physical Measurement Test (PMT) – Qualifying,Medical Examination + Document Verification,"Graduate-level eligibility (unlike Constable which is 10th pass). Same CBT pattern as RPF Constable but separate merit list. 2018 cycle: 1,120 posts. 2024 cycle: 452 posts. Notified alongside RPF Constable."
Defence (IAF),AFCAT (Air Force Common Admission Test),2015–2025 (2 cycles/year: AFCAT 1 & AFCAT 2),None (both cycles held every year),"2015-1&2, 2016-1&2, 2017-1&2, 2018-1&2, 2019-1&2, 2020-1&2, 2021-1&2, 2022-1&2, 2023-1&2, 2024-1&2","AFCAT Written – MCQ (General Awareness, Verbal Ability in English, Numerical Ability, Reasoning & Military Aptitude)
 + EKT – MCQ for Technical branch (Engineering Knowledge Test: Mechanical / Electronics & Communication / Electrical & Instrumentation)","AFSB Interview (Air Force Selection Board: Stage 1 – OIR & PPDT; Stage 2 – Psychological tests, GTO, Interview)",Medical Examination,Two cycles per year (Feb & Aug approximately). EKT only for Technical branch candidates. Flying branch candidates do CPSS (Computerised Pilot Selection System) at AFSB. Commissioned officer entry. NDA/CDSE entries are separate from AFCAT.
Defence (Indian Navy),Indian Navy SSR (Senior Secondary Recruit – Sailor),2015–2025 (2 cycles/year: Feb & Aug batches),2020-Aug – Cancelled (COVID-19); 2023 – Recruitment moved to Agniveer SSR scheme only; SSR as a standalone entry discontinued after 2022,2015 to 2022 (Feb & Aug cycles; papers available online),"Written – MCQ (English, Science, Mathematics, General Knowledge)",Physical Fitness Test (PFT) – Qualifying,Medical Examination + Merit List,"SSR entry discontinued as a separate scheme after Agnipath rollout (2022). From 2022–23 onwards, replaced by Agniveer SSR. 10+2 PCM eligibility. No interview stage. Selection purely on written merit + PFT."
Defence (Indian Navy),Indian Navy AA (Artificer Apprentice – Sailor),2015–2025 (2 cycles/year: Feb & Aug batches),2020-Aug – Cancelled (COVID-19); 2023 – Recruitment moved to Agniveer MR/SSR scheme; AA as standalone entry discontinued after 2022,2015 to 2022 (Feb & Aug cycles; papers available online),"Written – MCQ (English, Science, Mathematics, General Knowledge)",Physical Fitness Test (PFT) – Qualifying,Medical Examination + Merit List,"AA entry discontinued as a separate scheme after Agnipath rollout (2022). From 2022–23 onwards, integrated into Agniveer schemes. 10+2 PCM eligibility. Higher technical aptitude requirement than SSR. No interview stage."
Defence (Army / Navy / Air Force),"Agnipath – Agniveer (Army, Navy, Air Force)",2022–2025 (launched June 2022; annual cycles),None (annual cycle since launch in 2022),"2022 (Army CEE, Navy, AF papers available), 2023 (papers available), 2024 (papers available)","Army: CEE – MCQ (General Knowledge, General Science, Maths, Reasoning – trade/category specific)
 Navy Agniveer SSR/MR: MCQ (Science, Maths, English, GK)
 AF Agniveer: MCQ (Reasoning & General Awareness + Phase 2 trade test)",Physical Fitness Test (PFT) / Physical Measurement – Qualifying (all three services),Medical Examination + Document Verification,"Agnipath Scheme launched June 2022 replacing regular soldier/sailor/airman recruitment. 4-year service tenure; 25% retained permanently. Army has category-wise CEE (Sol GD, Sol Tech, Sol Clerk, Sol NA, etc.). Navy: Agniveer SSR & MR. AF: Agniveer Vayu. Separate notifications per service. Scheme under political review as of 2024–25."
Defence (Army),Territorial Army Officer,2015–2025 (1–2 notifications/year),2020 – Deferred to 2021 (COVID-19); some years only 1 cycle instead of 2,"2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024 (papers available online)",Written – MCQ (Paper I: Reasoning & Elementary Mathematics; Paper II: General Knowledge & English),"SSB Interview (Services Selection Board: Stage 1 – OIR & PPDT; Stage 2 – Psych, GTO, Interview)",Medical Examination,"Graduate-level entry for civilians already employed. Candidates must be employed / self-employed. Not a full-time military service — part-time commissioned officer role. Exam conducted by HQ Integrated Defence Staff. Two papers, both MCQ."
Defence (Coast Guard),Coast Guard Navik (GD & DB) / Yantrik,2015–2025 (2 cycles/year: January & July batches approximately),2020 – 1 cycle cancelled (COVID-19); 2021 – Delayed cycles,2015–16 to 2024 (batch-wise papers available; some shifts memory-based),"Written – MCQ (English, Science, Maths, Reasoning, GK / Current Affairs — Navik GD & DB; additional technical for Yantrik)",Physical Fitness Test (PFT) + Physical Measurement Test – Qualifying,Medical Examination + Document Verification,"Three posts: Navik General Duty (10+2 PCM), Navik Domestic Branch (10th pass), Yantrik (Diploma in Mech/Electrical/Electronics Engg). Yantrik written includes technical subjects. Recruited under Indian Coast Guard, Ministry of Defence. Two cycles/year approximately."
Defence (Army / Military),Military Nursing Service (MNS) – Lieutenant,2015–2025 (1 cycle/year),"2020 – Deferred to 2021 (COVID-19); 2022 – Limited vacancies, delayed notification","2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024 (papers available online)","Written – MCQ (General English, General Intelligence, General Science, Nursing & related subjects)",Interview / Psychological Assessment (Army HQ),Medical Examination,B.Sc. Nursing eligibility required. Commissioned as Lieutenant in Army Medical Corps. Conducted by Army HQ / DGAFMS. Female candidates only. Approx 200–400 vacancies per year. Bond period applies after selection.